CompanyName,CompanyNumber,SICCode.SicText_1,scrape_status,cached_scrape_path
GROOUP LTD,10633065,62020 - Information technology consultancy activities,no-url,
MINDER SOFTWARE LTD,08880066,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/08880066.txt
PC SERVICE LTD,03648094,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/03648094.txt
3T LOGISTICS LTD,03973355,62020 - Information technology consultancy activities,failed,
MWH CONSULTANTS LIMITED,08165040,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/08165040.txt
CERBERUS SOFTWARE SOLUTIONS LTD,06552920,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/06552920.txt
THE DATA SHED LIMITED,08005721,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/08005721.txt
TEST CLOUD UK LIMITED,11305405,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/11305405.txt
TECHNOLOGY SIMPLIFIED LIMITED,09099321,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/09099321.txt
BOOKMARC LTD,08897429,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/08897429.txt
TUNGSTEN LONDON HOLDINGS LIMITED,03119779,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/03119779.txt
EBECS LIMITED,06058559,62020 - Information technology consultancy activities,no-url,
MEDIACITY LIMITED,06082750,62020 - Information technology consultancy activities,parked,
BANKSIDE DIGITAL LIMITED,11514486,62020 - Information technology consultancy activities,scraped,data/cache/scrapes/11514486.txt
J BISCUIT CONSULTANCY LTD,11423634,62020 - Information technology consultancy activities,parked,
SYSTEMATIC MARKETING LIMITED,02472380,62012 - Business and domestic software development,no-url,
TIME SYSTEMS (UK) LIMITED,02110018,62012 - Business and domestic software development,failed,
AIVHUB LTD,09941441,62012 - Business and domestic software development,failed,
A.C.J. COMPUTER SERVICES LIMITED,02296369,62012 - Business and domestic software development,no-url,
CLINISYS SOLUTIONS LIMITED,03477318,62012 - Business and domestic software development,scraped,data/cache/scrapes/03477318.txt
FIRST OPTION LIMITED,02453594,62012 - Business and domestic software development,failed,
KAYA IT SERVICES LIMITED,07040249,62012 - Business and domestic software development,scraped,data/cache/scrapes/07040249.txt
LOFTYWORKS LTD,12239915,62012 - Business and domestic software development,parked,
SMARTGRADE LTD,12415626,62012 - Business and domestic software development,scraped,data/cache/scrapes/12415626.txt
DRAGONFLY TECHNOLOGY SOLUTIONS LTD,11230009,62012 - Business and domestic software development,failed,
MINITECH SYSTEMS LIMITED,01928817,62012 - Business and domestic software development,parked,
ZEYRA LIMITED,11305069,62012 - Business and domestic software development,scraped,data/cache/scrapes/11305069.txt
RSC MEDIA LTD,SC614929,62012 - Business and domestic software development,scraped,data/cache/scrapes/SC614929.txt
D.H. SOFTWARE SYSTEMS LIMITED,01606257,62012 - Business and domestic software development,scraped,data/cache/scrapes/01606257.txt
VIAHOST SOLUTIONS LTD,12257396,62012 - Business and domestic software development,parked,
ARCTRAN HOLDINGS LIMITED,09180718,62090 - Other information technology service activities,failed,
URBAN MARKETS LIMITED,11113204,62090 - Other information technology service activities,scraped,data/cache/scrapes/11113204.txt
VIDEO BOOTH SYSTEMS LIMITED,05411424,62090 - Other information technology service activities,scraped,data/cache/scrapes/05411424.txt
VIDEALERT LIMITED,05040786,62090 - Other information technology service activities,no-url,
UBOOKER WORLDWIDE LTD,10238710,62090 - Other information technology service activities,failed,
NETCORE CLOUD LIMITED,11244516,62090 - Other information technology service activities,scraped,data/cache/scrapes/11244516.txt
NETWORK IT 24 LIMITED,07869745,62090 - Other information technology service activities,scraped,data/cache/scrapes/07869745.txt
BIM DEPARTMENT LTD,07291268,62090 - Other information technology service activities,scraped,data/cache/scrapes/07291268.txt
ARTEMIS CONSULTANTS LIMITED,10172008,62090 - Other information technology service activities,scraped,data/cache/scrapes/10172008.txt
CARBONPAY LIMITED,12934414,62090 - Other information technology service activities,scraped,data/cache/scrapes/12934414.txt
THE EXECUTIVE CHANGE GROUP LIMITED,05643067,62090 - Other information technology service activities,scraped,data/cache/scrapes/05643067.txt
KEE NETWORK SERVICES LIMITED,03306398,62090 - Other information technology service activities,failed,
OCU OPALS SERVICES LIMITED,10894906,62090 - Other information technology service activities,scraped,data/cache/scrapes/10894906.txt
CENHEARD LIMITED,12189596,62090 - Other information technology service activities,scraped,data/cache/scrapes/12189596.txt
BRIGHTMEDIA LIMITED,02935043,62090 - Other information technology service activities,scraped,data/cache/scrapes/02935043.txt
MCGRAHAM & GRAHAM MENTAL CAPACITY EXPERTS LTD,11622995,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/11622995.txt
FINTECH DIGITAL LIMITED,12825420,63990 - Other information service activities n.e.c.,failed,
INKERMAN AREA RESIDENTS ASSOCIATION LIMITED,10075818,63990 - Other information service activities n.e.c.,failed,
CLEARCOURSE PAYMENTS HOLDCO LTD,12331935,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/12331935.txt
DECABBIT LTD,08823139,63990 - Other information service activities n.e.c.,no-url,
ONE IT SERVICE CONSULTING LIMITED,12261331,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/12261331.txt
CUSTODIAN SOLUTIONS LTD,08583145,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/08583145.txt
ASHLIE BROMBLEY LTD,12229780,63990 - Other information service activities n.e.c.,no-url,
NEW EU SUPPORT SERVICE CIC,SC315147,63990 - Other information service activities n.e.c.,parked,
IO LOOP LIMITED,10104547,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/10104547.txt
ICE DATA SERVICES EUROPE LIMITED,00949387,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/00949387.txt
POINTED CONSULTING LIMITED,NI654471,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/NI654471.txt
S&P GLOBAL VALUATIONS LIMITED,03352562,63990 - Other information service activities n.e.c.,failed,
GDDCS LTD,12713861,63990 - Other information service activities n.e.c.,failed,
CARDIFF AND VALE CITIZENS ADVICE BUREAU LTD,04291764,63990 - Other information service activities n.e.c.,scraped,data/cache/scrapes/04291764.txt
PREMIUM GADGETS LTD,12239626,61900 - Other telecommunications activities,parked,
SELECT TELECOM LIMITED,03433658,61900 - Other telecommunications activities,scraped,data/cache/scrapes/03433658.txt
HIGH QUALITY TELECOMMUNICATIONS LIMITED,04246210,61900 - Other telecommunications activities,scraped,data/cache/scrapes/04246210.txt
BT UAE LIMITED,04726666,61900 - Other telecommunications activities,scraped,data/cache/scrapes/04726666.txt
STRATUM FIVE LIMITED,06788758,61900 - Other telecommunications activities,failed,
AKIXI LIMITED,06500774,61900 - Other telecommunications activities,scraped,data/cache/scrapes/06500774.txt
SCION COMMUNICATIONS LIMITED,04598170,61900 - Other telecommunications activities,scraped,data/cache/scrapes/04598170.txt
SEBALEX CABLING SOLUTIONS LTD,11820414,61900 - Other telecommunications activities,failed,
TETRONIC LIMITED,04280768,61900 - Other telecommunications activities,scraped,data/cache/scrapes/04280768.txt
EXCALIBUR COMMUNICATIONS GB LIMITED,03912924,61900 - Other telecommunications activities,scraped,data/cache/scrapes/03912924.txt
BCS GLOBAL NETWORKS LIMITED,05239560,61900 - Other telecommunications activities,parked,
BANGO. NET  LIMITED,03854965,61900 - Other telecommunications activities,scraped,data/cache/scrapes/03854965.txt
DTC INTERNATIONAL LIMITED,05321116,61900 - Other telecommunications activities,scraped,data/cache/scrapes/05321116.txt
YEALINK (UK) LIMITED,06855467,61900 - Other telecommunications activities,scraped,data/cache/scrapes/06855467.txt
4NET TECHNOLOGIES LTD,05448638,61900 - Other telecommunications activities,no-url,
ASKRIA LTD,13022948,58290 - Other software publishing,scraped,data/cache/scrapes/13022948.txt
OPEN UP MUSIC,06414209,58290 - Other software publishing,scraped,data/cache/scrapes/06414209.txt
DIGITAL INSIGHT TECHNOLOGIES LTD,11241397,58290 - Other software publishing,scraped,data/cache/scrapes/11241397.txt
AUTHORITY SOFTWARE LIMITED,07138038,58290 - Other software publishing,scraped,data/cache/scrapes/07138038.txt
MARKETING AND CREATIVE HANDBOOK ONLINE LTD,12892167,58290 - Other software publishing,scraped,data/cache/scrapes/12892167.txt
FUZED INNOVATIONS LTD,10079176,58290 - Other software publishing,scraped,data/cache/scrapes/10079176.txt
COMMODIFUSION LIMITED,07152585,58290 - Other software publishing,no-url,
AGILISYS LIMITED,04327369,58290 - Other software publishing,scraped,data/cache/scrapes/04327369.txt
OPENSTREETMAP UNITED KINGDOM COMMUNITY INTEREST COMPANY,10527963,58290 - Other software publishing,scraped,data/cache/scrapes/10527963.txt
TOTHETABLE.COM LIMITED,10436682,58290 - Other software publishing,scraped,data/cache/scrapes/10436682.txt
NETRO 42 LIMITED,03104226,58290 - Other software publishing,failed,
ENCOIN LTD,12065952,58290 - Other software publishing,scraped,data/cache/scrapes/12065952.txt
BRADY CREDIT TRADING LIMITED,03056866,58290 - Other software publishing,scraped,data/cache/scrapes/03056866.txt
EO CONSULTING LTD,09377918,58290 - Other software publishing,failed,
ROI SOFTWARE DISTRIBUTION LIMITED,05499852,58290 - Other software publishing,scraped,data/cache/scrapes/05499852.txt
